x,y,z
-2.077075,-4.54816,-0.666667
-1.408663,-4.797465,-0.666667
-0.711574,-4.949107,-0.666667
-2.703204,4.206268,-0.666667
-2.077075,4.54816,-0.666667
-1.408663,4.797465,-0.666667
-0.711574,4.949107,-0.666667
3.274304,-3.778748,-1.333333
3.778748,-3.274304,-1.333333
4.206268,-2.703204,-1.333333
4.54816,-2.077075,-1.333333
4.797465,-1.408663,-1.333333
4.949107,-0.711574,-1.333333
5.0,0.0,-1.333333
4.949107,0.711574,-1.333333
0.0,-5.0,-0.666667
4.797465,1.408663,-1.333333
4.206268,2.703204,-1.333333
3.778748,3.274304,-1.333333
3.274304,3.778748,-1.333333
2.703204,4.206268,-1.333333
2.077075,4.54816,-1.333333
1.408663,4.797465,-1.333333
0.711574,4.949107,-1.333333
0.0,5.0,-1.333333
4.54816,2.077075,-1.333333
0.711574,-4.949107,-0.666667
1.408663,-4.797465,-0.666667
2.077075,-4.54816,-0.666667
1.666247,2.068087,-2.0
0.238196,-1.620746,-2.0
1.186739,-2.045128,-2.0
1.334156,-3.067278,-2.0
-2.817553,2.246865,-2.0
-3.116756,2.008358,-2.0
2.038821,-2.507123,-2.0
-3.600551,1.698581,-2.0
-0.974381,2.723954,-2.0
-1.858972,-1.056061,-2.0
3.446317,-1.121137,-2.0
-3.430756,0.642686,-2.0
-2.267967,1.241369,-2.0
-3.664962,-0.517915,-2.0
3.937617,-0.328405,-2.0
3.769315,0.942775,-2.0
-1.845832,-3.90531,-2.0
-2.430045,-3.573591,-2.0
-3.843571,0.620264,-2.0
-3.480271,-2.738945,-2.0
1.245018,2.088711,-2.0
0.0,5.0,-0.666667
2.703204,-4.206268,-0.666667
3.274304,-3.778748,-0.666667
3.778748,-3.274304,-0.666667
4.206268,-2.703204,-0.666667
4.54816,-2.077075,-0.666667
4.797465,-1.408663,-0.666667
4.949107,-0.711574,-0.666667
5.0,0.0,-0.666667
-0.652662,-1.746272,-2.0
4.949107,0.711574,-0.666667
4.54816,2.077075,-0.666667
4.206268,2.703204,-0.666667
3.778748,3.274304,-0.666667
3.274304,3.778748,-0.666667
2.703204,4.206268,-0.666667
2.077075,4.54816,-0.666667
1.408663,4.797465,-0.666667
0.711574,4.949107,-0.666667
4.797465,1.408663,-0.666667
-2.658664,1.899709,-2.0
1.04944,-3.643529,-0.666667
2.920289,-1.839246,-0.666667
2.437822,-2.062255,-1.333333
-0.587366,3.179463,-1.333333
0.834477,-3.053554,-1.333333
-1.069462,3.10492,-1.333333
0.491046,-3.352145,-1.333333
0.095169,-3.236109,-1.333333
-0.095203,3.175243,-1.333333
-0.92855,-2.968209,-1.333333
0.917166,3.06182,-1.333333
-0.404848,-3.107308,-1.333333
0.411015,3.129756,-1.333333
-2.695893,-1.682384,-1.333333
2.563028,1.677217,-1.333333
-2.256248,2.090791,-1.333333
-1.942034,-1.974647,-1.333333
1.924316,2.461993,-1.333333
1.989935,-1.868296,-1.333333
2.288387,2.079392,-1.333333
-2.350016,-2.22785,-1.333333
-2.658664,1.899709,-1.333333
-1.96609,2.715646,-1.333333
-2.416737,2.500115,-1.333333
2.022927,-2.160555,-1.333333
-1.455891,-2.84185,-1.333333
1.573099,3.438123,-1.333333
2.003772,-3.143563,-1.333333
-1.680047,3.436318,-1.333333
2.052603,3.198201,-1.333333
-2.513848,1.646003,-1.333333
-0.609856,2.682491,-1.333333
2.920289,-1.839246,-1.333333
1.04944,-3.643529,-1.333333
-0.054025,3.734585,-1.333333
0.55358,-3.779119,-1.333333
-0.531769,-3.686119,-1.333333
0.014713,-3.772595,-1.333333
0.501878,3.686767,-1.333333
-1.761125,-2.33606,-1.333333
1.796544,2.865811,-1.333333
-0.611124,3.716066,-1.333333
2.772413,2.422524,-1.333333
1.595429,-2.692392,-1.333333
-1.508889,2.911901,-1.333333
-0.235772,2.177047,-1.333333
0.024182,-2.115103,-1.333333
1.332367,2.516174,-1.333333
-1.45618,-1.915259,-1.333333
0.258953,2.143151,-1.333333
-0.387174,-1.931873,-1.333333
3.166415,0.600951,-1.333333
3.383042,-0.006641,-1.333333
-3.138387,0.268741,-1.333333
2.757555,-1.192387,-1.333333
-2.684496,1.330255,-1.333333
2.678023,1.192678,-1.333333
1.811812,1.698194,-1.333333
-1.516168,-1.474418,-1.333333
-1.038689,-1.451948,-1.333333
1.221415,1.656877,-1.333333
1.401918,-1.664153,-1.333333
-0.988633,-1.868452,-1.333333
0.756121,2.113571,-1.333333
0.503136,-2.291262,-1.333333
-1.273518,2.362489,-1.333333
1.005554,-2.508956,-1.333333
0.291372,-2.776813,-1.333333
1.400211,2.954273,-1.333333
-1.365883,-2.370337,-1.333333
-0.782877,-2.365065,-1.333333
-0.224422,-2.592212,-1.333333
0.826858,2.575,-1.333333
0.331456,2.619504,-1.333333
-0.15479,2.656012,-1.333333
-2.944696,-1.026694,-1.333333
2.275607,-1.632869,-1.333333
3.432266,-0.475276,-1.333333
-3.282547,1.058814,-1.333333
-2.12075,-1.412221,-1.333333
2.167356,1.495119,-1.333333
-1.807387,2.227793,-1.333333
1.60579,-2.179652,-1.333333
-0.728553,2.225206,-1.333333
-2.191235,1.672842,-1.333333
-3.274386,-2.035666,-1.333333
0.602867,4.293256,-1.333333
-0.003712,-4.358852,-1.333333
3.360035,-2.845235,-1.333333
-2.944924,3.343194,-1.333333
4.218777,1.151006,-1.333333
-4.283233,-0.628353,-1.333333
2.865364,-3.245418,-1.333333
-2.425574,3.697132,-1.333333
1.806953,-3.970249,-1.333333
-1.275596,4.186705,-1.333333
-1.243432,-4.143668,-1.333333
3.736678,0.343733,-1.333333
-3.777523,0.077377,-1.333333
2.362087,3.670592,-1.333333
4.540714,-0.64064,-1.333333
1.807889,3.967249,-1.333333
